hospital,comment_th,comment_eng,score
Chulalongkorn,"ที่โรงพยาบาลจุฬาฯรู้สึกประทับใจจากเจ้าหน้าที่เวชระเบียน พี่พยาบาล และคุณหมอ ดูแลดีมาก บริการเป็นกันเอง ใจดี ให้คำแนะนำช่วยเหลืออย่างดี ประทับใจมาก
บริเวณสถานที่สะอาด น่าอยู่ค่ะฮ่าๆ คุณหมอมือเบาดีค่ะ.เวลาฉีดยา ไม่ค่อยรู้สึกเจ็บเท่าไหร่ ได้ยามาเยอะมากเหมือนกัน เภสัชเขาแนะนำการกินยาที่ถูกต้อง คนเยอะไปหน่อย แต่บริการประทับใจ พยาบาลอาจมีดุบ้าง แต่เขาทำตามหน้าที่ เข้าใจค่ะ ฮ่าๆๆ","Hospital Chula impressed by the staff's medical records, nursing and medical care is very good, friendly service generous help guide the well impressed.
A clean place What is it lol The doctor gently good. Injection time. I feel much Drugs have a lot in common. He recommended pharmaceutical pills correctly. A little crowded But Excellent Service Some hospitals may have scolded But he dutifully understand it lol.",5
Chulalongkorn,พอดีพาคุณแม่มาตรวจสุขภาพประจำปี ในการตรวจแต่ละแผนก ทั้งเจาะเลือด เอ็กซเรย์ รอคิวไม่นาน เจ้าหน้าที่ทำงานอย่างเป็นระบบ ส่วนการเดินทางมาโรงพยาบาลก็ง่าย เดินทางสะดวก อยู่ใกล้ทั้ง รถไฟฟ้า และ รถไฟฟ้าใต้ดิน ลงจากรถไฟฟ้า สถานีศาลาแดง ก็มีทางเชื่อมมาถึงตึก ภปร.เลย แต่ถ้ามารถยนต์ส่วนตัว อาจจะลำบากไปนิดหน่อยเพราะรถติด ส่วนการบริการเจ้าหน้าที่และแพทย์ พูดจาดี อัธยาศัยดี ทั้งเจ้าหน้าที่ในห้องลงทะเบียน ก็มีอัธยาศัยดี ไม่มีหงุดหงิดอารมณ์เสียใส่เลย ประทับใจมากค่ะ,"I took my mother's annual health check. In the department The blood test, X-ray, no queues for staff working in a systematic way. The trip to the hospital, it is conveniently located near both the Skytrain and the subway down from the Saladaeng Skytrain station, it is connected to building global security. But if a car. It may have seemed a little jam. The service staff and doctors speak good courteous staff at registration. It's good-natured Fret not upset at all Very impressive",4
Chulalongkorn,โรงพยาบาลมีเครื่องมือครบครัน สะดวกสบาย มีการจัดคิวได้รวดเร็ว ผมเป็นคนไข้ที่โรงพยาบาลระยองส่งตัวมารักษาโดยใช้สิทธิ 30 บาทในการรักษา ทางโรงพยาบาลได้มีการรักษาอย่างดี และพยาบาลดูแลดีทุกคน มีการชี้แนะนำขั้นตอน เพราะผมไปเป็นคนไข้ใหม่ ซึ่งไม่รู้ขั้นตอนอะไรเรย ทางพยาบาลก็แนะนำอย่างดี การเข้าคิวหาหมอตอนแรกนึกว่าจะช้าอย่างที่เคยไป แต่เข้าหาหมอได้ไวมาก,"The hospital is fully equipped with tools Queuing quickly. I was a patient at the hospital, Rayong sent to treatment using the 30 baht for treatment. The hospital has treated well. And nursing care for everyone Has indicated the steps Because I went to a new patients What steps did the rest. The nurse was advised well Queuing for a doctor at first thought to be slow as ever. But I have very sensitive approach",4
Chulalongkorn,อยู่ตนงข้ามสวนลุมพินี มารถไฟฟ้าหรือรถเมล์ก็สะดวกดี ส่วนตัวเคยไปใช้บริการตรวจสุขภาพไปต่างประเทศเมื่อหลายปีก่อน เจ้าหน้าที่ พยาบาล หมอ ทุกคนพูดจาดี บริการดี แต่ตอนลงทะเบียนผู้ป่วยใหม่ จะงงๆนิดหน่อย คนไข้เยอะ ต้องบริการตนเองเป็นส่วนใหญ่ รอคิวตรวจค่อนข้างนาน ปัจจุบันไม่แน่ใจว่ามีการปรับปรุงเปลี่ยนแปลงบ้างหรือยัง,"It is the opposite Lumpini Park The train or bus, it's convenient. Private health services had to go abroad many years ago, doctors, nursing staff all speak good service but now register new patients. I just need to be a little patient self-service is a big part. Make quite long queues Currently, there is sure to change it or not.",3
Chulalongkorn,มีโอกาศได้เข้ารับการรักษาที่โรงพยาบาลจุฬาลงกรณ์ สภากาชาดไทย โดยได้เข้ารับการตรวจเเผนกหู คอ จมูก ทั่วไปกับอาจารย์เเพทย์ ประทับใจทุกขั้นตอนการให้บริการของโรงพยาบาลจุฬาลงกรณ์ เเพทย์ พยาบาล อาสาสมัคร เจ้าหน้าที่ประชาสัมพันธ์ พร้อมให้คำเเนะนำ สอบถามข้อสัย เเม้จะเป้นคลินิกนอกเวลาราชการผู้ป่วยก้ต้องเข้าคิวรอเป็นจำนวนมาก การเดินทางสะดวกทั้งรถเมย์ประจำทาง รถไฟฟ้าbts สังกัดโรงพยาบาลรัฐ บริการดีเหมือนเอกชน,"A chance to be admitted to Chulalongkorn Hospital by visits like birds through the ENT general teachers do physician. At every stage of the service of the hospital's nurses do Area Volunteer Manager. With HOMERegisterInstructions inquiries Northridge Hmong are just outside of office hours clinic patients, you have to queue a lot. Convenient Metro and bus routes bts State Hospital. Services like Private",5
Chulalongkorn,ได้มีโอกาสไปพบหมอมา 2 คลินิก คือ คลินิกผิวหนัง กับคลินิกนารีเวช ประทับใจทุกขั้นตอนการบริการของบุคลากรที่นี่มากๆค่ะ ไม่ว่าจะถาม หรือสงสัย ในส่วนใหน บุคลากรทุกท่านตอบด้วยความเต็มใจ ยิ้มแย้ม ยิ่งหมอนี่ประทับใจมาก ตรวจละเอียด ถามจนกว่าจะแน่ใจว่าคนไข้เป็นอะไรมา ไม่ใช่ถามแบบรีบถามรีบสรุป เหมือนหลายๆโรงพยาบาลที่เคยไปมา คือเข้าพบหมอประมาณเกือบๆครึ่งชั่วโมงเลยค่ะ นั่งซักถามอาการของเราอย่างละเอียด เพิ่งจะเคยเจอที่นี่แหละค่ะ ที่หมอคุยกับคนไข้นานๆ เจอที่ รพ.ประจำที่เคยไป 5 นาที ออกละ หมอรีบไปใหน,"Have the opportunity to see a doctor, the clinic is the second clinic skin. Gynecology clinic At every stage of the service staff here very much doubt or question whether the new personnel will respond willingly, smiling even more impressive parte examination of questions until you are sure that the patient is coming. I was not asked a question he concluded. Like many hospitals visited. It was almost half an hour to see the doctor about it. Asked our symptoms carefully. I've recently come across it. The doctors talk to patients who have prolonged hospital for at least 5 minutes to go to the doctor immediately.",5
Chulalongkorn,"รักษาหลายโรคมากที่นี่ แำทย์ให้เวลากับคนไข้ เก่งและมีความสามารถมาก
แต่คนไข้เยอะมากๆๆทำให้ต้องรอนาน แม้แต่คลินิกพิเศษก็ยังคนเยอะ
แต่คุณหมอพูดดี เอาใจใส่ดี ให้ความสำคัญในการรักษา พยาบาลก็เช่นกัน
 เรารักษาที่นี่มาโดยตลอด ราคาก็ไม่ได้แพงขนาดรับไม่ได้ แลกกับยาและการรักษาที่ได้รับ แต่อยากให้จัดระบบให้รวดเร็วกว่านี้ค่ะ","Treat many more diseases here แm Bay to time with patients. Smart and very talented
But it makes a lot of patients have to wait long. Even the clinic was crowded.
But doctors say there's better to focus on treatment. Hospitals, too,
 We treat here all along. The price was not expensive unacceptable. With medication and the treatment they receive. I want to organize more quickly than this.",4
Chulalongkorn,มีระบบการจองคิวที่ดีค่ะ พยาบาลจะคอยแนะนำ ในครั้งแรกที่ไปทำประวัติ และแนะนำให้ไปคลินิคธรรมดาหากไม่ต้องการเสียค่าพบหมอแพง และคุณหมอพูดดีมากๆค่ะ ใจดี การให้บริการระหว่างรอคิวดี แต่อาจจะต้องรอคิวนานหน่อยควรไปตั้งแต่ตีห้าครึ่งเพื่อที่จะได้รับคิวและเพื่อให้ทันในการพบหมอ และคุณพยาบาลที่ทำการเรียกคิวมีการแนะนำว่าหากไม่ต้องการรอคิวนาน ให้ไปทำเรื่องที่ห้องฉุกเฉิน สำหรับผู้ที่ไม่สบาย ปวดหัวตัวร้อน ที่ไม่ต้องการรอคิวนาน,A reservation system queues good. Nurses will introduce In the first place to make history. And introduce them to the clinic if a doctor does not want to incur expensive. You speak very good and generous service to the poor queues. But may have to wait a little longer to go from half past five to get and to keep up the queue to see the doctor. And you call the nurses office queue has been suggested that if you do not want to wait long. To go to the emergency room. For those not comfortable Headache and fever Who does not want long queues,4
Chulalongkorn,รพ. มีระบบการจองคิว และจัดระเบียนคนไข้ดีมาก ฝากครรภ์กับ รพ.จุฬา คุณหมอใส่ใจและ ให้ข้อมมูลการดูแลรักษาและการตรวจฝากครรภ์ ที่เป็นประโชยน์ กับคนไข้ เข้าใจง่าย ทำให้คนไข้มีทางเลือกในการเข้ารับการรักษาและดูแลลูกน้อยอย่างเข้าใจและถูกต้อง เลือกไม่ผิดที่ไว้ใจและฝากลูกน้อยไว้กับการคลอดที่โรงพยาบาลนี้ คุณแม่ท่านใด กำลังคิดจะฝากท้องและคลอดแนะนำที่ รพ.จุฬเลยค่ะ มีทั้งแบบฝากวันธรรมดา และช่วงเลาเย็นหลังเลิกงาน หรือสามารถมาฝากครรภ์ในวันเสาร์อาทิตย์ได้ด้วยค่ะ,"Hospital systems are booked. Good prenatal care and patient records to the hospital and university medical attention. For information on the treatment and the pregnancy. That utilize the patient's understanding patients have a choice in the treatment and care of the baby and understood correctly. Choose not to trust them and leave the baby with hospital birth mother, you think you're going to ฝaktgag birth and recommended that hospital capacity, it is both stately deposit weekdays. And during a dinner after work. ANC or on weekends with me.",4
Chulalongkorn,"ประทับใจหมอและพยาบาลพูดจาดี รู้สึกไม่เหมือนกับโรงพยาบาลรัฐบาลที่อื่น นอกจากคุณหมอจะเก่งและมีความเชี่ยวชาญแล้วยังมีคุณสมบัติอื่นๆที่ดีและน่าประทับใจ คิดไม่ผิดเลยค่ะที่เลือกมาใช้บริการที่นี่
ประทับใจหมอและพยาบาลพูดจาดี รู้สึกไม่เหมือนกับโรงพยาบาลรัฐบาลที่อื่น นอกจากคุณหมอจะเก่งและมีความเชี่ยวชาญแล้วยังมีคุณสมบัติอื่นๆที่ดีและน่าประทับใจ คิดไม่ผิดเลยค่ะที่เลือกมาใช้บริการที่นี่","Doctors and nurses speak good impression I do not like government hospitals elsewhere. In addition, doctors are competent and proficient, there are other great and impressive. I do not fault the choice of service here.
Doctors and nurses speak good impression I do not like government hospitals elsewhere. In addition, doctors are competent and proficient, there are other great and impressive. I do not fault the choice of service here.",5
Chulalongkorn,คุณหมอที่นี่เก่งมากค่ะ ผ่าตัดไตคุณพ่อออกทั้งสองข้าง มีความชำนาญมาก ซึ่งปกติแล้วเคสของคุณพ่อจะยากมากๆ แต่คุณหมอก็ทำได้สำเร็จ พยาบาลก็ดีค่ะ แต่บางคนก็พูดจาห้วน ตะโกนใส่พ่อเราบ้าง คือตอนนั้นแกเหมือนจะเมายามอร์ฟีน แกก็ตอบไม่ค่อยรู้เรื่อง ก็น่าจะพูดจากับแกดีๆหน่อย ติตรงนี้ที่เดียวค่ะ เรื่องพยาบาลบางคน นอกนั้นดีค่ะ ตึกพยาบาลก็ใหม่ สะอาด และสะดวกดีค่ะ,"Doctors here are very good. Father kidney surgery from both sides. Very skilled Which is usually the case, your father would be very difficult. But the doctor was successful Pleasant enough nurses But some did speak briefly The father yelled at us? Where is it to be screwed like morphine. I do not know the answer It was good to speak with you. Comment on this one too Some nurses outside the hospital building is good, it's clean, convenient and good.",5
Chulalongkorn,โรงพยาบาลจุฬาฯคือสุดยอดผู้เชี่ยวชาญในเรื่องโรคหัวใจ เด็กเล็กเด็กอ่อนแค่ไหนก็สามารถผ่าตัดช่วยได้ ขอบคุณที่ช่วยชีวิตลูกชาย ให้เราได้ลูกชายที่แข็งแรงกลับมา ขอบคุณจากใจค่ะ,Chula Hospital is the ultimate expert on heart disease. Kids Baby how surgery can help. Thanks to the rescue son Let us have a healthy son back. Thank you from my heart,5
Chulalongkorn,ไปหาหมอแล้วเจอเจ้าหน้าที่บริการดีรุ้สึกดีมากคั,Go to the doctor and I feel very good staff here.,5
Chulalongkorn,จากการเข้ารับการรักษาพยาบาลและคุณหมอที่ห้องผ่าตัดใจดีมากค่ะ ให้กำลังใจด้วย,"The nurses and the doctor admitted to the operating room, very generous. With encouragement",4
Chulalongkorn,พยาบาลพูดจาไพเราะ เข้าใจง่าย,Nursing eloquence simplification,5
Chulalongkorn,เป็นการรักษาที่มีประสิทธิ์ภาพ ถึงช้าก็รอได้,The treatment efficiency Soon the wait,5
Chulalongkorn,หมอเจ้าหน้าที่ ยินดีให้คำแนะนำ,I staff Please advise,5
Chulalongkorn,ทีมแพทย์แนวหน้า มีแพทย์เฉพาะทางหลากหลายและรองรับผู้ป่วยเคสยากๆได้อย่างมีประสิทธิภาพ,Medical team leader A wide range of medical specialties and patients with difficult cases effectively.,5
Chulalongkorn,คนเยอะ เนื่องจากเป็นโรงพยาบาลของรัฐ รอคิวนานมากค่ะ กว่าจะได้พบหมอ ค่ารักษาถูก ใช้สิทธิ30บาทรักษาทุกโรค พญาบาลใจดีค่ะ ชอบการอธิบายก่อนจะทำอะไร เช่น ก่อนฉีดยา เขาจะมาบอกก่อนว่าจะทำอะไรบ้าง ดีค่ะ แต่คนเยอะจริงๆ,"Due to a crowded public hospital. Very long queues Will the doctor be exercised to maintain the 30-baht health care. Paya Committee generous enough Before I explain what to do before, such as treatment, he will tell you what to do, but some people really good.",3
Chulalongkorn,เพิ่งผ่าตลอดลูกคนที่สองเมื่อเดือนตุลาคม 59 ค่ะ ตอนไปตรวจทุกเดือนไม่ค่อยชอบ เพราะรอนานมาก แต่ไปทุกครั้งก็รู้สึกว่าเจ้าหน้าที่ทุกคนตั้งใจทำงาน ยิ้มแย้มแจ่มใส ให้ข้อมูลดีมาก จนถึงตอนคลอดยิ่งประทับใจค่ะ พยาบาลเอาใจใส่คนไข้มาก เดินเช็คทั้งคืน ขอให้ช่วยก็ยิ้มแย้ม ไม่มีบ่นเลยค่ะ ไม่เหมือนรพ.เอกชนบางที่ ดึกๆต้องการความช่วยเหลือ กดกริ่งเรียกไปเหมือนเพิ่งตื่นนอน ไม่ยิ้มเลย แต่หมอและพยาบาลที่จุฬามารยาทดี ดูแลคนไข้ดีมากและที่สำคัญค่าใช้จ่ายไม่สูงเกินไป แต่ไม่สะดวกตรงที่ถ้าต้องการรูดบัตรเครดิตต้องมีค่าใช้จ่ายหนึ่งพันบาทขึ้นไปค่ะ,"Shelter throughout the second child last October 59, when I do not like to check every month. For a very long wait But every time I feel that the staff all work hard. Beaming Very informative Up until now it bore the impress Nursing care of patients Walk in the Night Let's help smiling I do not complain Unlike hospital somewhere private. Need help late Ring the bell to call me, but I just woke up a doctor and a nurse at the University mannered. Excellent patient care and the cost is not too high. But not exactly where you'd swipe the credit card must have cost one billion baht to me.",4
Chulalongkorn,เมื่อช่วงเช้าของวันที่17ม.ค.2560 ได้ไปใช้บริการที่แผนกกุมารเวช   ระยะเวลาในการรอเป็นปกติของร.พ.รัฐทั่วไป เจ้าหน้าที่ให้ข้อมูลดี มีการประสานงานจากจุดลงทะเบียน จุดคัดกรอง ทั้งที่ลิฟท์ หรือเค้าเตอร์ต่างๆก็ไม่ติดขับ แต่จนท.บางคนอาจจะเสียงแข็งๆ พูดห้วนๆ ไม่มีคะขาเท่ากับของเอกชน  ลูกเราไปฉีดวัคซีน แต่คุณหมอฝึกหัดกับคุณหมอที่เป็นอาจารย์ก็ช่วยดูอาการอื่นๆให้ด้วย  ประทับใจมาก เพราะถ้าเป็นคลินิกย่อย คลินิกหรือรพ.เอกชนอื่นๆก็จะทำตามใบสั่งคือวัคซีนก็วัคซีน ไม่ตรวจหรือสังเกตอะไรเพิ่มเติม  สรุปคือลูกเราซีด เลยต้องเจาะเลือดตรวจ คุณหมอให้ข้อมูลเยอะมาก  ประทับใจจริงๆ  และตอนนี้กำลังรอผลค่ะ,"On the morning of 17 January 2560. It is used at the Department of Pediatrics. The period of waiting for a normal process. May. Governor General. Staff are well informed Registration is coordinated by the screening point at the elevator or in the counter was not driving. But until. Some may be disrespectful to say it bluntly, no one is privately owned. We have children to vaccination But doctors practicing doctor with a teacher's help with other symptoms, the more impressive because it was a small clinic. Clinic or hospital will do other private prescription is that the vaccine is a vaccine. Not detected or noticed anything Our conclusion is that the Pale I need blood You give a lot of information really impressed And now awaits the results.",5
Chulalongkorn,นักศึกษาแพทย์ดีมากคะสอบถามอาการก่อนเข้าตรวจแล้วก็ตรวจดีมากคะอาจารย์หมอก็ดีมากคะพร้อมให้คำแนะนำเราอีกด้วยชอบมากเลยคะพูดจาไพเราะน่ารักสุดดๆ,"Medical students have very good questions before the check, then check is very good, very good teachers, doctors advise us with eloquence like too cute with it.",1
Chulalongkorn,คุณหมอใจดี ตรวจสุขภาพฟันทุกครั้งที่เปลี่ยนยาง,Doctor Good dental check every tire change.,5
Chulalongkorn,ใช้เวลานานในทุกจุดที่ไปติดต่อ รวมถึงข้อจำกัดเกี่ยวกับยาที่ใช่ระหว่างรพ.เอกชน & รพ.ของรัฐ,Take a long time to all points of contact. Including limits on the drugs used during hospital & private hospital in the state.,2
Chulalongkorn,เมื่อเดือน ธันวาคม ได้ผ่าคลอดลูกคนแรกที่ รพ.จุฬาลงกรณ์ หมอผ่าแบบแนวตั้ง แผลไม่สวยเลย มันย่นๆ ทำไมไม่ผ่าแนวนอนให้เรา เสียความรู้สึกมาก,"Last December, the first child to operate. Hospital Chulalongkorn Doctors cut a vertical incision is pretty shorten it, why do not we split horizontally. Waste a lot of sense",1
Chulalongkorn,คุณพ่อเพิ่งเข้าไปหาหมอรพ.จุฬาที่ผ่านมา แผนกลมชัก ประทับใจทุกอย่างหมอ พยาบาล เอาใจใส่คนไข้ดีมาก รู้สึกได้ว่าทุกท่านทำงานด้วยใจ สอบถามอะไรทุกอย่างยิ้มแย้มแจ่มใส ทั้งๆที่มีหลายขั้นตอนบางทีถามก้อแอบงง แต่พี่ๆก้อค่อยอธิบาย ช่วงเวลาที่รอคิวนาน เพราะคนไข้เยอะ ก่อมีพี่พยาบาลมาแนะนำขั้นตอนในการ้ลื่อนนัดถ้ามีเหตุจำเป็น มีให้กำลังใจคนไข้แผนกลมชักด้วย ซึ่งไม่เคยเหนที่ไหนมาก่อน ทั้งๆที่คนไข้เยอะมากก แต่พี่ๆพยาบาลก้อยิ้มแย้มแจ่มใส สดชื่นกันทุกคน ทำให้สบายใจและหายห่วงในการมารักษาค่ะ,"My father recently went to the doctor, hospital CU last disc seizures at all doctors, nurses, patient care is very good. Feel that you work with the mind. Ask what all beaming In spite of several steps, maybe I'm just asking. But I'm just explaining During the waiting time Because patients do The older nurses have introduced steps to immobilize Largest strikes if necessary. There are encouraging for patients with disc seizures. The activists never before. In spite of a lot of patients But I'm beaming nurse. Fresh everyone Making it comfortable and carefree to maintain it.",5
Chulalongkorn,เป็นโรงพยาบาลที่มีคนไข้มารอตรวจเยอะมากและมารอกันแต่เช้าตรู่มาก แต่ละคนมารอไม่ต่ำกว่าตี5 และพอถึงเวลาลุงรปภ.เปิดประตูทุกคนก็เหมือนจะเตรียมวิ่ง 4*100เมตร เพื่อไปต่อคิวรับบัตร แต่รับบัตรคิวผ่านพี่พยาบาลคัดกรองเท่านั้นนะไม่ใช่เข้าตรวจ มาตรวจแต่ละครั้งใช้เวลา1วัน นี่ละโรงพยาบาลใจกลางเมือง,"Hospital patients have been waiting and waiting, but very, very early. Each had to wait more than 5 am. And at the time of his security guards. Open the door, everyone was prepared to run like a 4 * 100 meters to go on cue cards. But get the cue through medical screening, not only to detect. Check each took one day. Here at the hospital center",5
