comment;score;en_com
"
พาย่ามารักษาโรคไต โรงพยาบาลให้การต้อนรับดีมาก เเละพูดกับคนไข้ดีมาก เเละมีความสุขทุกครั้งที่ได้ไปรับการรักษาที่นี่ การที่คนเราเป็นโรคไตนั้น มันเกิดมาจากการที่เรานั้นกินเค็มมากเกิน เเละถ้าไม่อยากเป้นโรคไต อย่ากินเค็มมาก เเละลดให้กินอาหารที่พอดีเเละอย่าเติมรสเพิ่มให้มันพอดี ตอนนี้ย่ากินอาหารได้เเต่ย่ากินอาหารที่รสจืดมาก เเละมีบางครั้งอาจจะมีกินรสจัดบ้างเเต่นานๆๆครั้ง อย่าให้คนเเก่อยู่คนเดี่ยวนะเพราะเเกจะกินอาหารรสจัดเเกจะไม่ห่วงสุขภาพตัวเอง
";5;Paya to treat kidney disease The hospital is very welcoming. And spoke to the patients very well And happy every time he was treated here That people with kidney disease are It was caused by our eating too much salty. And if not wanting to be a kidney disease Do not eat very salty. And reduce to eat properly and do not add more flavor to it Now, grandma can eat, but the food is very tasteless. And sometimes there may be some spicy food, but occasionally Do not let people create a single person because they will eat spicy food and will not worry about their health.
"
รักษาเนื้องอกที่มดลูกที่โรงพยาบาลรามาพรีเมียม เพราะได้รับคำแนะนำจากพี่ที่ทำงายว่าหายได้ค่ะ ไปหาคุณหมอท่านเดียวกันกับที่รักษาพี่เขา คุณหมอใจดีมากค่ะ ถามไถ่ซักอาการอย่างละเอียด การส่องกล้องทันสมัย ไม่เจ็บแต่อย่างใด รอคิวไม่นานมาก โรงพยาบาลสะอาด ใหม่ ทันสมัยด้วยค่ะ อยากให้สาวๆลองตรวจภายในเป็นประจำกันด้วยนะคะ
";5;Treatment of uterine fibroids at Rama Premium Hospital Because he received advice from the elder that made him lose Go to the same doctor who treats him. The doctor is very kind. Asked to wash the symptoms thoroughly Modern endoscopy Not hurt in any way Waiting for a long time New clean, modern hospital. Would like the girls to try to check inside regularly as well
"
ได้รับคำปรึกษาจากทีมแพทย์ดีมากค่ะ (สอบถามผ่านทางเน็ต) ติดต่อสื่อสารรวดเร็ว และ สะดวกยิ่งขึ้น ตั้งแต่ การลงทะเบียนออนไลฟ์ การจองคิว ออนไลน์ โดยเฉพาะ การรับยาโดยไม่ต้องไปรับเอง แต่ ทางโรงพยาบาลรามาธิบดี จะส่งยามาให้ (ขอบคุณมากๆ) ทุกอย่างโดยรวมถือว่าดีมากค่ะ อาทิตย์จะเข้าทำการรักษา แล้วจะมารีวิวเรื่องการพบแพทย์และงานบริการอื่นๆให้ฟังอีกครั้งนะค่ะ
";5;Very good advice from the medical team. (Inquiries via the Internet) Communication is faster and more convenient since the online live registration, online queue booking, especially for receiving medicines without having to go to pick up on their own, but the Ramathibodi Hospital will send the medicine (thank you very much). Everything overall is very good. Sunday will go into treatment. And will come to review the doctor and other services to listen again.
"
ไปพบหมอสูติ นอกเวลาค่ะ ยื่นบัตรผู้ป่วยไม่ได้นัด 15:30น. จากนั้นนั่งรอเรียกชื่อค่ะ พยาบาลจะถามว่าเราเป็นอะไรมา แล้วก้อบอกว่าค่าใช้จ่ายนอกเวลาจะชาร์จขึ้นอีกเท่านึงจากเวลาปกตินะ พยาบาลพูดดี  ทุกอย่างโดยรวมถือว่าโอเค แต่คนไข้นอกเวลาเยอะนิดนึงนะคะ ตอนที่เราตรวจไปตรวจภายในค่ะ มีความผิดปกติคือ เป็นเชื้อราในช่องคลอด คุณหมอก็แนะนำดีมากเลยคะ แล้วก้อนัดอีกเดือนนึง เพื่อตรวจหามะเร็จปากมดลูก
";5;Going to see an obstetrician at the time The nurse will ask what we are. And said that the extra time will be charged again from the normal time. The nurse said good. Everything overall is ok. But the patient has a lot of time When we checked in There is an abnormality Is a fungus in the vagina The doctor recommended very well. Then make another appointment a month To detect the cervix
"
เคยไปผ่าตัดที่โรงพยาบาลนี้เขารักษาดูแลดีมากทั้งหมอสถาบันประสาทและรพ.นี้ช่วยกันดูแลหนูเป็นอย่างดีเลยตอนผ่าตัดมาผ่าที่รามาตอนรักษารักษาที่สถาบันประสาทมันอยู่ติดกันและตอนนี้ก็ไม่มีอาการแล้วหายแล้วแม่ก็ไปผ่าต้อที่รามาหมอฝีมือดีมากค่ะที่นี้เพื่อนก็มีโรคประจำตัวเขาเป็นไรไม่รู้แต่กินเท่าไหล่ก็ไม่อ้วนมีแต่กระตูกก็มาที่รามาหมอก็ให้คำปรึกษาอย่างดีเขาก็ดีขึ้นหุ่นเริ่มมีน้ำมีนวลขึ้นไม่เห็นกระดูกเหมือนเมื่อก่อนแล้วที่นี้ดีไม่มีคำว่าเลี้ยงไข้เคยไปมารพ.นึงก่อนจะมารักษาที่สถาบันประสาทและได้มาผ่าตัดที่นี้โดนเลี้ยงไข้มา3ปี
";5;"Used to have surgery at this hospital, he maintained very well, both doctors, neuroscience institutions and this hospital helped to take care of the mice as well. The symptoms then disappeared and the mother went to work at Ramama. The doctor is very skilled. At this point, his friends have their own diseases. Well, he&#39;s better For 3 years"
"
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย
";5;"Is a hospital where both family and relatives use the service Patient screening system and excellent data management Hospital personnel are very good. The doctor has a good ability to be very good. Accepted in the world I came to treat epilepsy. Diabetes and neurological diseases have been here for many years. Doctors in various departments coordinate well. Also my daughter came to treat epilepsy at this hospital as well. Keeping from childhood until now is an adult Although the disease has not disappeared But if following the doctor&#39;s instructions strictly The symptoms of the disease did not appear."
"
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย
";5;"Is a hospital where both family and relatives use the service Patient screening system and excellent data management Hospital personnel are very good. The doctor has a good ability to be very good. Accepted in the world I came to treat epilepsy. Diabetes and neurological diseases have been here for many years. Doctors in various departments coordinate well. Also my daughter came to treat epilepsy at this hospital as well. Keeping from childhood until now is an adult Although the disease has not disappeared But if following the doctor&#39;s instructions strictly The symptoms of the disease did not appear."
"
ครั้งแรก ไปแผนกฉุกเฉิกแต่ไม่ใช่อุบัติเหตุ แพทย์ พยาบาล ให้คำแนะนำดีมาก อธิบาย ผลข้างเคียงจากการใช้ยา และเราประกอบการตัดสินใจ  ไม่เคยไปรักษา แต่พอดีเลยลงทะเบียนผ่านหน้าเว็บไซด์ไว้นานแล้ว พอต้องไปจริง ใช้เลข ปชช. 13 หลัก ก็มีประวัติเลย ตรงนี้ดีมาก ขณะที่มีเรื่องฉุกเฉิน เราไม่ต้องมานั่งกรอกแบบฟอร์มหรือแจ้งข้อมูลอีก อาจจะรอนานหน่อย แต่ก็เข้าใจเพราะอาการเราไม่เหมือนอุบัติเหตุ 
";5;The first time went to the emergency department, but not the accident. And we make decisions Never go to treatment But fit so far, registering through the website for a long time and then having to actually use the 13-digit PCHC number, it has a history. This is very good while there is an emergency We do not have to sit and fill out forms or report information again. May wait a little longer But understand because of the symptoms we are not like an accident
"
เป็นโรงพยาบาลที่ทั้งครอบครัวและญาติใช้บริการ ระบบคัดกรองคนไข้และจัดการข้อมูลอยู่ในระดับดีเยี่ยม บุคลากรของโรงพยาบาลเก่งมาก แพทย์มีความสามารถในระดับดีถึงดีมาก เป็นที่ยอมรับในสากล ตัวข้าพเจ้าเองมารักษาโรคลมชัก เบาหวานและโรคทางระบบประสาทที่นี่หลายปีแล้ว แพทย์ในแผนกต่างๆประสานงานกันได้ดี อีกทั้งลูกสาวข้าพเจ้าก็มารักษาโรคลมชักที่โรงพยาบาลแห่งนี้เช่นเดียวกัน รักษาตั้งแต่เด็กจนตอนนี้เป็นผู้ใหญ่แล้ว ถึงแม้ว่าโรคจะยังไม่หายไป แต่ถ้าทำตามคำแนะนำของแพทย์อย่างเคร่งครัด อาการของโรคก็ไม่ปรากฎออกมาให้เห็นเลย
";5;"Is a hospital where both family and relatives use the service Patient screening system and excellent data management Hospital personnel are very good. The doctor has a good ability to be very good. Accepted in the world I came to treat epilepsy. Diabetes and neurological diseases have been here for many years. Doctors in various departments coordinate well. Also my daughter came to treat epilepsy at this hospital as well. Keeping from childhood until now is an adult Although the disease has not disappeared But if following the doctor&#39;s instructions strictly The symptoms of the disease did not appear."
"
เป็นโรงพยาบาลที่ผมเองใช้บริการบ่อยๆ การบริการดีมากเลยครับ
";4;Is a hospital that I personally use frequently The service is very good.
"
ดีครับ ดูแลค่อนข้างดี
";4;Well, take care quite well.
"
ให้บริการดี คุณหมอเอาใจใส่คนไข้ดี จัดเรียงระบบตามเวลานัด
";4;Good service, the doctor cares for the patients Arrange the system according to the appointment time
"
ผ่าตัดหลังมาค่ะ คุณหมอใจดีมาก จนท.ดูแลดี เสีย แต่ไม่ค่อยยิ้มแย้มแจ่มใส เครื่อง mri เหมือนเก่า ตอนทำออกมาหน้ามืดเลย หายใจไม่ค่อยออก
";4;Back surgery The doctor is very kind, so far. He takes good care of him, but is not smiling. The machine is like the old mri. Rarely breathe out
"
พยาบาลพูดจาดี หมอเก่งมาก
";5;The nurse spoke good
"
ได้รับการผ่าตัดที่โรงพยาบาลรามาธิบดีค่ะ ซึ่งเป็นการผ่าตัดและการนอนโรงพยาบาลครั้งแรกในชีวิต ทำให้มีความกังวลมาก แต่แพทย์และพยาบาลดูแลเป็นอย่างดีค่ะ ให้คำแนะนำทั้งก่อนและหลังผ่าเป็นอย่างดี ทำให้รู้สึกคลายกังวลไปได้เยอะ กลับมาพักฟื้นที่บ้านแล้วมีปัญหาเกี่ยวแผลเลยโทรไปปรึกษา เจ้าหน้าที่ก็ให้บริการดีมากค่ะ
";5;Received surgery at Ramathibodi Hospital Which is the first surgery and hospital stay in life Causing great concern But doctors and nurses take good care Give advice before and after dissecting as well Makes you feel very relaxed Back to recover at home and have problems with the wound. Call to consult. The staff were very helpful.
"
ดีทุกอย่าง ติดตรงค่าบริการ แยกบิลแปลกๆ  ซ้ำซ้อน จนต้องเดินไปถาม บอกมาเเค่ว่าหมอสั่ง  เฮ้อ
";3;Well, everything is right. Direct bill, strange bill, redundant, must walk to ask. Told me that the doctor ordered hey
"
ถึงจะเป็นโรงพยาบาลของรัฐแต่ให้บริการและดูแลดีมากจริงๆค่ะ ตั้งแต่แพทย์พยาบาล จนถึงเจ้าหน้าที่ทุกท่านค่ะ
";5;Even though it is a public hospital, but really good service and care Since doctors, nurses Until all staff
"
วันที่ 18/01/60 ฉันเป็นไข้ตัวร้อนมาก ตอนนั้นเวลาประมาณ18.00น. เพื่อนได้พาฉันไปที่โรงพยาบาลซึ่งตึกที่ไปรักษาคืออาคารฉุกเฉินคนไข้เยอะมากกก แต่พอเดินเข้าไปติดต่อเจ้าหน้าที่ใให้การตอนรับดีมาก ยิ้มแย้มแจ่มใส ใส่ใจดูแลถามอาการและให้การรักษาเราอย่างดี ทั้งที่เจ้าหน้าที่ก็ทำงานมาทั้งวันและคนไข้ก็เยอะมากแต่ยังดูแลคนไข้อย่างทั่วถึงและเต็มใจให้บริการ พร้อมรอยยิ้ม มันเป็นสิ่งที่เล็กน้อยแต่ทำให้เรารู้ว่าเค้าเต็มใจให้บริการและไม่ทอดทิ้งคนไข้ค่ะ
";5;On 18/01/60 I was very hot fever. At that time around 18.00 hrs. Friends have taken me to the hospital where the building that is being treated is an emergency building. But when he walked in contact with the staff for a very good reception Beaming Care, ask questions and treat us well. Both the staff had been working all day and the patients were a lot, but still taking care of the patients thoroughly and willing to provide services with a smile.
"
อุปกรณ์เครื่องมือแพทย์ทันสมัย แพทย์ พยาบาล ทำการรักษาด้วยความตั้งใจ การบริการดีเยี่ยม
";5;Modern medical equipment, doctors, nurses perform treatment with intent. Excellent service
"
ฉันได้เข้าไปรักษาซีสที่รังไข่ด้วยวิธีการผ่าตัดที่โรงพยาบาลรามา คุณหมอดูแลดีมาก ผ่าตัดเชี่ยวชาญ ไม่เคยรู้สึกเจ็บ โรงพยาบาลี้ทำให้ดิฉันไม่กลัวการผ่าตัดค่ะ
";5;I went to treat the cysts at the ovaries with surgical procedures at Rama Hospital. Very good doctor Specialized surgery Never feel hurt The hospital has made me not afraid of surgery.
"
แพทย์ พยาบาล มีความเป็นมืออาชีพมาก สามารถจัดการกับปัญหาเฉพาะหน้าได้เป็นอย่างดี
";4;Doctors, nurses are very professional. Can deal with immediate problems as well
"
คุณพยายาลพูดจาเพราะทุกคน ดูแลดีมาก โดยเฉพาะพยาบาลและผู้ช่วยพยาบาลชั้น7อาคาร1 ดูแลผู้ป่วยดีมาก  ร่วมถึงนักศึกษาแพทย์ทุกคนล้วนน่ารัก
";5;Khun Payaya spoke because everyone is very well taken care of, especially nurses and nursing assistants, 7th floor, Building 1 Very good patient care Together with all medical students are cute
